,ug,ugsp,irt,ski,job
0,B.Sc,Computer Applications,Cloud computing,Python;SQL;Java,Software
1,B.E,Computer Science Engineering,Technology,"Critical Thinking, Analytic Thinking, SQL, Programming, Work under Pressure, Logical Skills, Problem Solving skills",Computer Software Engineer
3,BBA,Commerce,Sales/Marketing;Trading;Understand human behaviour;Home interior design,Accounting Skills;Critical Thinking,Relationships manager
4,B.Tech,Instrumentation Engineering,Technology,"
PLC Allen Bradley;PLC Ladder Logic;LabVIEW;Business Analysis;End-to-End ProjectManagement;Crossfunctional Team Leadership;Requirements Gathering;Lean Six Sigma;Lean six sigma blackbelt;Productivity Improvement",Plant Instrumentation Engineer
5,B.Tech,Computer Science Engineering,Technology,"C,C++,HTML,Java",Network analyst
7,B.Tech,Computer Science Engineering,Technology,NO,Software Engineer Trainee
8,B.Tech,Computer Science Engineering,Technology,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,senior software engineer
11,BE,Automobile Engineering,"Take risk for Profits, Technology, Entrepreneurship","Analytic Thinking, Gathering Informing, Communication Skills, Team work, Presentation Skills, Problem Solving skills",Data Engineer
12,BBA,Marketing ,"Sales/Marketing;Trading;Understand human behaviour;Digital marketing;Market reserach;Agriculture, services;Construction Manegement",Accounting Skills;Business Knowledge;Leadership;Problem Solving skills;Wealth Management,
15,BE,Engineering,Research;Technology;Data analytics;Govt. Job,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,Worked in Research Institute 
17,BE,Mechanical Engineering,Entrepreneurship,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",Teacher
18,B.Tech,Electrical and Electronics Engineering,Technology,Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management,Embedded System Engineer
19,BE,Structural Engineeeing ,Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS ",Assistant Professor
20,B.Tech,Mining,Teaching;Technology;Industires,Hardware skills,Mine Engineer
22,B.Tech,Mechanical Engineering,Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",Mechanical Design Engineer
